rf,cell_type,animalids,condition,stats
2.773391305588603,ON_BT,1,WT,mesopic_snl_1
2.8825118395959595,ON_BT,2,WT,mesopic_snl_1
2.8883335900417544,ON_BT,3,WT,mesopic_snl_1
2.82567739896421,ON_BT,4,WT,mesopic_snl_1
12.390909956842076,ON_BT,1,WT,mesopic_snl_2
13.12687205651273,ON_BT,2,WT,mesopic_snl_2
14.197745685657376,ON_BT,3,WT,mesopic_snl_2
12.608828392847613,ON_BT,4,WT,mesopic_snl_2
16.17069527175694,ON_BT,1,WT,mesopic_snl_3
18.45496568104874,ON_BT,2,WT,mesopic_snl_3
17.504280944182685,ON_BT,3,WT,mesopic_snl_3
15.8952203187106,ON_BT,4,WT,mesopic_snl_3
19.689545109001628,ON_BT,1,WT,mesopic_snl_4
20.323966677314043,ON_BT,2,WT,mesopic_snl_4
18.07917358168874,ON_BT,3,WT,mesopic_snl_4
21.582458800081138,ON_BT,4,WT,mesopic_snl_4
2.6057299700688636,ON_BT,5,1M,mesopic_snl_1
3.4210118394312428,ON_BT,6,1M,mesopic_snl_1
2.4845203142967214,ON_BT,7,1M,mesopic_snl_1
11.085347035878591,ON_BT,5,1M,mesopic_snl_2
12.227482240524491,ON_BT,6,1M,mesopic_snl_2
11.752139872091464,ON_BT,7,1M,mesopic_snl_2
15.728446283211976,ON_BT,5,1M,mesopic_snl_3
14.9044472757525,ON_BT,6,1M,mesopic_snl_3
16.03169570775473,ON_BT,7,1M,mesopic_snl_3
18.08103674453914,ON_BT,5,1M,mesopic_snl_4
17.841382530744458,ON_BT,6,1M,mesopic_snl_4
17.07171640526435,ON_BT,7,1M,mesopic_snl_4
2.18136453773672,ON_BT,9,2M,mesopic_snl_1
2.4757493776049806,ON_BT,10,2M,mesopic_snl_1
2.9040988292628396,ON_BT,11,2M,mesopic_snl_1
11.080306016786677,ON_BT,9,2M,mesopic_snl_2
11.734925031805489,ON_BT,10,2M,mesopic_snl_2
13.0095410872404,ON_BT,11,2M,mesopic_snl_2
13.447385302957604,ON_BT,9,2M,mesopic_snl_3
15.73244356981733,ON_BT,10,2M,mesopic_snl_3
16.29483172375143,ON_BT,11,2M,mesopic_snl_3
14.391796994784146,ON_BT,9,2M,mesopic_snl_4
15.26053489431863,ON_BT,10,2M,mesopic_snl_4
15.890501742750656,ON_BT,11,2M,mesopic_snl_4
2.305730030068852,ON_BT,13,3M,mesopic_snl_1
3.121011899431231,ON_BT,14,3M,mesopic_snl_1
2.184520374296709,ON_BT,15,3M,mesopic_snl_1
9.585347335878529,ON_BT,13,3M,mesopic_snl_2
10.72748254052443,ON_BT,14,3M,mesopic_snl_2
10.252140172091403,ON_BT,15,3M,mesopic_snl_2
13.478446733211884,ON_BT,13,3M,mesopic_snl_3
12.65444772575241,ON_BT,14,3M,mesopic_snl_3
13.781696157754642,ON_BT,15,3M,mesopic_snl_3
14.031037554538981,ON_BT,13,3M,mesopic_snl_4
13.791383340744295,ON_BT,14,3M,mesopic_snl_4
13.021717215264191,ON_BT,15,3M,mesopic_snl_4
1.656364642736699,ON_BT,17,4M,mesopic_snl_1
1.95074948260496,ON_BT,18,4M,mesopic_snl_1
2.379098934262819,ON_BT,19,4M,mesopic_snl_1
8.830306466786586,ON_BT,17,4M,mesopic_snl_2
9.484925481805398,ON_BT,18,4M,mesopic_snl_2
10.75954153724031,ON_BT,19,4M,mesopic_snl_2
10.447385902957485,ON_BT,17,4M,mesopic_snl_3
12.73244416981721,ON_BT,18,4M,mesopic_snl_3
13.29483232375131,ON_BT,19,4M,mesopic_snl_3
11.241797624784018,ON_BT,17,4M,mesopic_snl_4
12.1105355243185,ON_BT,18,4M,mesopic_snl_4
12.740502372750528,ON_BT,19,4M,mesopic_snl_4
1.705730150068828,ON_BT,21,5M,mesopic_snl_1
2.521012019431207,ON_BT,22,5M,mesopic_snl_1
1.5845204942966853,ON_BT,23,5M,mesopic_snl_1
6.735347905878416,ON_BT,21,5M,mesopic_snl_2
7.8774831105243175,ON_BT,22,5M,mesopic_snl_2
7.402140742091291,ON_BT,23,5M,mesopic_snl_2
10.478447333211763,ON_BT,21,5M,mesopic_snl_3
9.65444832575229,ON_BT,22,5M,mesopic_snl_3
10.78169675775452,ON_BT,23,5M,mesopic_snl_3
12.981037764538938,ON_BT,21,5M,mesopic_snl_4
12.741383550744253,ON_BT,22,5M,mesopic_snl_4
11.97171742526415,ON_BT,23,5M,mesopic_snl_4
2.4063644927367287,population,25,WT,mesopic_snl_1
2.70074933260499,population,26,WT,mesopic_snl_1
3.129098784262849,population,27,WT,mesopic_snl_1
2.4935318671389433,population,28,WT,mesopic_snl_1
12.58534673587865,population,25,WT,mesopic_snl_2
13.727481940524552,population,26,WT,mesopic_snl_2
13.252139572091524,population,27,WT,mesopic_snl_2
12.44760925935548,population,28,WT,mesopic_snl_2
18.270780698573365,population,25,WT,mesopic_snl_3
19.177097224733952,population,26,WT,mesopic_snl_3
15.970249945269233,population,27,WT,mesopic_snl_3
20.974943114401228,population,28,WT,mesopic_snl_3
19.170052885241425,population,25,WT,mesopic_snl_4
22.02353942800975,population,26,WT,mesopic_snl_4
18.745819090038925,population,27,WT,mesopic_snl_4
17.651354958585788,population,28,WT,mesopic_snl_4
2.6321227667145988,population,29,1M,mesopic_snl_1
2.8939703727221233,population,30,1M,mesopic_snl_1
3.403816794896088,population,31,1M,mesopic_snl_1
11.223691751478984,population,29,1M,mesopic_snl_2
12.366220884908845,population,30,1M,mesopic_snl_2
12.647414961875894,population,31,1M,mesopic_snl_2
13.80971134254851,population,29,1M,mesopic_snl_3
15.050765484740628,population,30,1M,mesopic_snl_3
15.950718125357811,population,31,1M,mesopic_snl_3
17.670053185241365,population,29,1M,mesopic_snl_4
20.523539728009688,population,30,1M,mesopic_snl_4
17.245819390038864,population,31,1M,mesopic_snl_4
2.259139249351349,population,33,2M,mesopic_snl_1
2.7159933312097095,population,34,2M,mesopic_snl_1
2.5258563838364987,population,35,2M,mesopic_snl_1
11.239222466606122,population,33,2M,mesopic_snl_2
10.827222962876384,population,34,2M,mesopic_snl_2
11.390847178877499,population,35,2M,mesopic_snl_2
15.115768920769774,population,33,2M,mesopic_snl_3
14.773405758205937,population,34,2M,mesopic_snl_3
13.673882721805791,population,35,2M,mesopic_snl_3
14.19727456957878,population,33,2M,mesopic_snl_4
15.227621509117695,population,34,2M,mesopic_snl_4
16.7268445899202,population,35,2M,mesopic_snl_4
2.332122826714587,population,37,3M,mesopic_snl_1
