spikerate,info,index,genotype,months
24.4444444444444,23.2873504601756,3,WT,0
39.3333333333333,33.0943431944941,68,WT,0
50.6666666666667,34.6771114791921,69,WT,0
31.8888888888889,21.9017131918803,71,WT,0
31.3333333333333,27.2656026666289,152,WT,0
11.8888888888889,14.5040515083224,155,WT,0
23.6666666666667,25.6914473860214,176,WT,0
37.5555555555556,34.128795915892,178,WT,0
31.7777777777778,22.7474707963099,188,WT,0
27.5555555555556,26.1868181879253,208,WT,0
32,21.8629310513404,222,WT,0
12.1111111111111,14.5771950794665,233,WT,0
31.7777777777778,27.6854290879227,235,WT,0
67.3333333333333,20.6152220165453,257,WT,0
10.6666666666667,19.0130203524644,261,WT,0
36.6666666666667,28.6906950627048,278,WT,0
31.8888888888889,22.0360709020373,282,WT,0
25,25.7601422719882,284,WT,0
35,20.3584075400356,288,WT,0
33,32.1552796329319,291,WT,0
29.2222222222222,32.7166899024544,292,WT,0
38.3333333333333,29.9828031750427,294,WT,0
38.6666666666667,20.5207687454265,295,WT,0
26.3333333333333,25.2881543128002,302,WT,0
46.3333333333333,35.7568780925255,309,WT,0
36.3333333333333,25.2403954079413,322,WT,0
36.4444444444444,33.5148243045415,326,WT,0
32.7777777777778,31.8308479871036,331,WT,0
9.33333333333333,17.3229148621552,337,WT,0
35.7777777777778,36.6172861509533,341,WT,0
24.5555555555556,14.2760533075274,344,WT,0
44.5555555555556,28.78455187109,345,WT,0
11.2222222222222,21.0643273991671,347,WT,0
42.4444444444444,37.3739046132266,369,WT,0
11.7777777777778,18.2588323371454,373,WT,0
16.4444444444444,14.8096760398839,384,WT,0
16,14.230748993019,385,WT,0
32.4444444444444,28.7348484622464,409,WT,0
30,32.6877903165094,410,WT,0
18.6666666666667,15.7307038725536,415,WT,0
40.6666666666667,36.3951859318783,416,WT,0
32.5555555555556,28.0785875679522,417,WT,0
11.3333333333333,17.9155843030985,428,WT,0
32.5555555555556,24.4325931720996,429,WT,0
38.1111111111111,30.2132388884319,432,WT,0
7.44444444444444,15.2113607673381,435,WT,0
35.6666666666667,26.8317837352532,439,WT,0
53.1111111111111,40.6352847097038,440,WT,0
10.8888888888889,14.9861613334285,442,WT,0
31,23.9484642329828,467,WT,0
29.3333333333333,21.4595585768157,471,WT,0
25.8888888888889,22.6720473753706,473,WT,0
19.6666666666667,15.576200466929,475,WT,0
17.8888888888889,24.834065233088,500,WT,0
28,24.6994857715687,541,WT,0
49.3333333333333,41.0712603445063,40,WT,0
36.8888888888889,35.3830880869757,41,WT,0
38.8888888888889,36.5739167259082,48,WT,0
24.5555555555556,30.5339433856702,64,WT,0
34,36.6501094861669,91,WT,0
50.3333333333333,38.7458938893198,95,WT,0
40,42.4657580083985,100,WT,0
51.3333333333333,39.5076569060506,101,WT,0
24.2222222222222,33.8836172165968,109,WT,0
28.5555555555556,29.2080917385733,111,WT,0
52.4444444444444,39.9578741370762,115,WT,0
42.2222222222222,34.9953059233649,117,WT,0
23.1111111111111,33.8089452753959,126,WT,0
14.5555555555556,28.8058639272831,130,WT,0
15.3333333333333,27.2644295200039,157,WT,0
40.2222222222222,31.9430014871917,170,WT,0
13.1111111111111,24.6369507754703,182,WT,0
53.5555555555556,40.8511108725824,184,WT,0
33.5555555555556,37.0848260228884,193,WT,0
40.5555555555556,42.0097929811397,195,WT,0
24.6666666666667,26.6053432401981,213,WT,0
54.6666666666667,47.0514618247201,223,WT,0
36.1111111111111,36.0200675733946,237,WT,0
22.4444444444444,31.7873930113009,240,WT,0
21.1111111111111,30.7606396780624,241,WT,0
52.8888888888889,39.867006088016,259,WT,0
13.1111111111111,24.1014698387743,267,WT,0
47.3333333333333,42.4503047411438,280,WT,0
46.5555555555556,43.2934512652161,294,WT,0
15,25.7514624235284,296,WT,0
37.8888888888889,36.9038032441574,301,WT,0
24.5555555555556,25.2503810707518,318,WT,0
33.7777777777778,30.4122568316086,320,WT,0
17.6666666666667,25.4863459481081,335,WT,0
35.3333333333333,24.2489378366691,343,WT,0
54.8888888888889,25.1806556483676,362,WT,0
44.2222222222222,37.7236098792669,377,WT,0
22.4444444444444,25.8849436416524,382,WT,0
26.8888888888889,31.352336771293,389,WT,0
34.7777777777778,35.023573428411,400,WT,0
44.7777777777778,41.2572894595745,411,WT,0
26.1111111111111,29.6734725815169,446,WT,0
23.8888888888889,28.7685093881271,451,WT,0
39.2222222222222,35.7714790196314,452,WT,0
43.1111111111111,37.2215468430321,461,WT,0
29.4444444444444,28.5043212033296,472,WT,0
29.2222222222222,31.9308740411706,481,WT,0
35.5555555555556,35.3993017189989,482,WT,0
40,39.1912517115213,484,WT,0
13,19.2065705528643,7,WT,0
31.6666666666667,31.0406020335722,24,WT,0
20.3333333333333,22.938504525774,29,WT,0
23.2222222222222,31.6173798204719,30,WT,0
20.3333333333333,23.4821466435427,36,WT,0
55.6666666666667,35.5184632993643,40,WT,0
21.1111111111111,18.939586103402,42,WT,0
17.4444444444444,20.4708523210687,46,WT,0
29.5555555555556,20.3012500605341,78,WT,0
9.77777777777778,18.5474805090645,90,WT,0
31.4444444444444,22.5923997924668,102,WT,0
