rf,cell_type,animalids,condition,stats
0.8021216580032091,population,1,WT,photopic_light_responses
0.9002499575849521,population,2,WT,photopic_light_responses
1.0430331366942018,population,3,WT,photopic_light_responses
0.8311774552817722,population,4,WT,photopic_light_responses
0.828046567059733,population,1,WT,mesopic_light_responses
0.9803312914694586,population,2,WT,mesopic_light_responses
0.9169522963359252,population,3,WT,mesopic_light_responses
0.8096815665169776,population,4,WT,mesopic_light_responses
0.9580522901819669,population,5,1M,photopic_light_responses
1.0184734040102268,population,6,1M,photopic_light_responses
0.8046835426212815,population,7,1M,photopic_light_responses
0.2861197429437414,population,5,1M,mesopic_light_responses
0.5250089893381389,population,6,1M,mesopic_light_responses
0.4288004036489865,population,7,1M,mesopic_light_responses
0.885341604432207,population,9,2M,photopic_light_responses
0.9827635918402837,population,10,2M,photopic_light_responses
0.9843783143266591,population,11,2M,photopic_light_responses
0.40697642002263124,population,9,2M,mesopic_light_responses
0.5408644499150372,population,10,2M,mesopic_light_responses
0.5848718842948782,population,11,2M,mesopic_light_responses
0.9433354508229286,population,13,3M,photopic_light_responses
1.0675221586422854,population,14,3M,photopic_light_responses
1.0048715045712082,population,15,3M,photopic_light_responses
0.1357308645246542,population,13,3M,mesopic_light_responses
0.17771882862209964,population,14,3M,mesopic_light_responses
0.1628179135353699,population,15,3M,mesopic_light_responses
0.9077181295949042,population,17,4M,photopic_light_responses
0.8848939141924728,population,18,4M,photopic_light_responses
0.8115923637721558,population,19,4M,photopic_light_responses
0.15212165800320915,population,17,4M,mesopic_light_responses
0.25024995758495217,population,18,4M,mesopic_light_responses
0.39303313669420187,population,19,4M,mesopic_light_responses
0.6773744310463842,population,21,5M,photopic_light_responses
0.7646569838387327,population,22,5M,photopic_light_responses
0.9346058252198156,population,23,5M,photopic_light_responses
0.14649253282897778,population,21,5M,mesopic_light_responses
0.2988297810870696,population,22,5M,mesopic_light_responses
0.336322332181185,population,23,5M,mesopic_light_responses
0.27064760696605195,population,25,7M,photopic_light_responses
0.35338456632624843,population,26,7M,photopic_light_responses
0.16739635094846145,population,25,7M,mesopic_light_responses
0.25524618554191386,population,26,7M,mesopic_light_responses
-0.03218254946284285,population,29,9M,photopic_light_responses
-0.06681709888685301,population,30,9M,photopic_light_responses
0.0016514989668732348,population,29,9M,mesopic_light_responses
0.0011089117501864054,population,30,9M,mesopic_light_responses
